#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Sat Sep 19 19:59:33 2020

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       control_map.ncd
#OUTPUT FILE:      control_pad.csv
#PART TYPE:        xc3s400
#SPEED GRADE:      -5
#PACKAGE:          pq208
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P57,pashesh<1>,IOB,IO_L01P_5/CS_B,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P58,vfelinew<2>,IOB,IO_L01N_5/RDWR_B,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P59,,,GND,,,,,,,,,,,,
P60,,,VCCO_5,,,5,,,,,2.50,,,,
P61,vfelinew<1>,IOB,IO_L10P_5/VRN_5,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P62,pashesh<0>,IOB,IO_L10N_5/VRP_5,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P63,tormoz,IOB,IO,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P64,vfelinew<0>,IOB,IO_L27P_5,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P65,vfeli<0>,IOB,IO_L27N_5/VREF_5,INPUT,LVCMOS25*,5,,,,NONE,,UNLOCATED,NO,NONE,
P66,,,GND,,,,,,,,,,,,
P67,vout<0>,IOB,IO_L28P_5/D7,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P68,speed<0>,IOB,IO_L28N_5/D6,INPUT,LVCMOS25*,5,,,,IFD,,UNLOCATED,YES,NONE,
P69,,,VCCAUX,,,,,,,,2.5,,,,
P70,,,VCCINT,,,,,,,,1.2,,,,
P71,vfeli<7>,IOB,IO,INPUT,LVCMOS25*,5,,,,NONE,,UNLOCATED,NO,NONE,
P72,vfeli<3>,IOB,IO_L31P_5/D5,INPUT,LVCMOS25*,5,,,,NONE,,UNLOCATED,NO,NONE,
P73,,,VCCO_5,,,5,,,,,2.50,,,,
P74,pashesh<2>,IOB,IO_L31N_5/D4,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P75,,,GND,,,,,,,,,,,,
P76,eq1,IOB,IO_L32P_5/GCLK2,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P77,lt1,IOB,IO_L32N_5/GCLK3,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P78,lt,IOB,IO/VREF_5,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P79,clock,IOB,IO_L32P_4/GCLK0,INPUT,LVCMOS25*,4,,,,NONE,,UNLOCATED,NO,NONE,
P80,vfeli<5>,IOB,IO_L32N_4/GCLK1,INPUT,LVCMOS25*,4,,,,NONE,,UNLOCATED,NO,NONE,
P81,eq,IOB,IO_L31P_4/DOUT/BUSY,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P82,,,GND,,,,,,,,,,,,
P83,vout<6>,IOB,IO_L31N_4/INIT_B,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P84,,,VCCO_4,,,4,,,,,2.50,,,,
P85,speed<6>,IOB,IO/VREF_4,INPUT,LVCMOS25*,4,,,,IFD,,UNLOCATED,YES,NONE,
P86,speed<7>,IOB,IO_L30P_4/D3,INPUT,LVCMOS25*,4,,,,IFD,,UNLOCATED,YES,NONE,
P87,vout<7>,IOB,IO_L30N_4/D2,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P88,,,VCCINT,,,,,,,,1.2,,,,
P89,,,VCCAUX,,,,,,,,2.5,,,,
P90,change<0>,IOB,IO_L27P_4/D1,INPUT,LVCMOS25*,4,,,,NONE,,UNLOCATED,NO,NONE,
P91,,,GND,,,,,,,,,,,,
P92,hooshyari<1>,IOB,IO_L27N_4/DIN/D0,INPUT,LVCMOS25*,4,,,,NONE,,UNLOCATED,NO,NONE,
P93,vout1<0>,IOB,IO,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P94,change<1>,IOB,IO_L25P_4,INPUT,LVCMOS25*,4,,,,NONE,,UNLOCATED,NO,NONE,
P95,gt1,IOB,IO_L25N_4,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P96,gt,IOB,IO/VREF_4,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P97,vout1<4>,IOB,IO,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P98,,,VCCO_4,,,4,,,,,2.50,,,,
P99,,,GND,,,,,,,,,,,,
P100,vout1<5>,IOB,IO_L01P_4/VRN_4,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P101,vout<5>,IOB,IO_L01N_4/VRP_4,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P102,speed<5>,IOB,IO/VREF_4,INPUT,LVCMOS25*,4,,,,IFD,,UNLOCATED,YES,NONE,
P103,,,DONE,,,,,,,,,,,,
P104,,,CCLK,,,,,,,,,,,,
P105,,,GND,,,,,,,,,,,,
P106,vout1<1>,IOB,IO_L01P_3/VRN_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P107,vout1<2>,IOB,IO_L01N_3/VRP_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P108,vout1<3>,IOB,IO_L17P_3/VREF_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P109,vout1<6>,IOB,IO_L17N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P110,,,VCCO_3,,,3,,,,,2.50,,,,
P111,vout1<7>,IOB,IO_L19P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P112,,,GND,,,,,,,,,,,,
P113,changewire<0>,IOB,IO_L19N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P114,hooshyari<2>,IOB,IO_L20P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P115,,DIFFS,IO_L20N_3,UNUSED,,3,,,,,,,,,
P116,,DIFFM,IO_L21P_3,UNUSED,,3,,,,,,,,,
P117,,DIFFS,IO_L21N_3,UNUSED,,3,,,,,,,,,
P118,,,GND,,,,,,,,,,,,
P119,,DIFFM,IO_L22P_3,UNUSED,,3,,,,,,,,,
P120,,DIFFS,IO_L22N_3,UNUSED,,3,,,,,,,,,
P121,,,VCCAUX,,,,,,,,2.5,,,,
P122,,DIFFM,IO_L23P_3/VREF_3,UNUSED,,3,,,,,,,,,
P123,,DIFFS,IO_L23N_3,UNUSED,,3,,,,,,,,,
P124,,DIFFM,IO_L24P_3,UNUSED,,3,,,,,,,,,
P125,,DIFFS,IO_L24N_3,UNUSED,,3,,,,,,,,,
P126,,DIFFM,IO_L39P_3,UNUSED,,3,,,,,,,,,
P127,,,VCCO_3,,,3,,,,,2.50,,,,
P128,,DIFFS,IO_L39N_3,UNUSED,,3,,,,,,,,,
P129,,,GND,,,,,,,,,,,,
P130,,DIFFM,IO_L40P_3,UNUSED,,3,,,,,,,,,
P131,,DIFFS,IO_L40N_3/VREF_3,UNUSED,,3,,,,,,,,,
P132,,DIFFM,IO_L40P_2/VREF_2,UNUSED,,2,,,,,,,,,
P133,,DIFFS,IO_L40N_2,UNUSED,,2,,,,,,,,,
P134,,,GND,,,,,,,,,,,,
P135,,DIFFM,IO_L39P_2,UNUSED,,2,,,,,,,,,
P136,,,VCCO_2,,,2,,,,,any******,,,,
P137,,DIFFS,IO_L39N_2,UNUSED,,2,,,,,,,,,
P138,,DIFFM,IO_L24P_2,UNUSED,,2,,,,,,,,,
P139,,DIFFS,IO_L24N_2,UNUSED,,2,,,,,,,,,
P140,,DIFFM,IO_L23P_2,UNUSED,,2,,,,,,,,,
P141,,DIFFS,IO_L23N_2/VREF_2,UNUSED,,2,,,,,,,,,
P142,,,VCCAUX,,,,,,,,2.5,,,,
P143,,DIFFM,IO_L22P_2,UNUSED,,2,,,,,,,,,
P144,,DIFFS,IO_L22N_2,UNUSED,,2,,,,,,,,,
P145,,,GND,,,,,,,,,,,,
P146,,DIFFM,IO_L21P_2,UNUSED,,2,,,,,,,,,
P147,,DIFFS,IO_L21N_2,UNUSED,,2,,,,,,,,,
P148,,DIFFM,IO_L20P_2,UNUSED,,2,,,,,,,,,
P149,,DIFFS,IO_L20N_2,UNUSED,,2,,,,,,,,,
P150,,DIFFM,IO_L19P_2,UNUSED,,2,,,,,,,,,
P151,,,GND,,,,,,,,,,,,
P152,,DIFFS,IO_L19N_2,UNUSED,,2,,,,,,,,,
P153,,,VCCO_2,,,2,,,,,any******,,,,
P154,,DIFFM,IO/VREF_2,UNUSED,,2,,,,,,,,,
P155,,DIFFM,IO_L01P_2/VRN_2,UNUSED,,2,,,,,,,,,
P156,,DIFFS,IO_L01N_2/VRP_2,UNUSED,,2,,,,,,,,,
P157,,,GND,,,,,,,,,,,,
P158,,,TDO,,,,,,,,,,,,
P159,,,TCK,,,,,,,,,,,,
P160,,,TMS,,,,,,,,,,,,
P161,,DIFFM,IO_L01P_1/VRN_1,UNUSED,,1,,,,,,,,,
P162,,DIFFS,IO_L01N_1/VRP_1,UNUSED,,1,,,,,,,,,
P163,,,GND,,,,,,,,,,,,
P164,,,VCCO_1,,,1,,,,,any******,,,,
P165,,DIFFM,IO_L10P_1,UNUSED,,1,,,,,,,,,
P166,,DIFFS,IO_L10N_1/VREF_1,UNUSED,,1,,,,,,,,,
P167,,IOB,IO,UNUSED,,1,,,,,,,,,
P168,,DIFFM,IO_L27P_1,UNUSED,,1,,,,,,,,,
P169,,DIFFS,IO_L27N_1,UNUSED,,1,,,,,,,,,
P170,,,GND,,,,,,,,,,,,
P171,,DIFFM,IO_L28P_1,UNUSED,,1,,,,,,,,,
P172,,DIFFS,IO_L28N_1,UNUSED,,1,,,,,,,,,
P173,,,VCCAUX,,,,,,,,2.5,,,,
P174,,,VCCINT,,,,,,,,1.2,,,,
P175,,IOB,IO,UNUSED,,1,,,,,,,,,
P176,,DIFFM,IO_L31P_1,UNUSED,,1,,,,,,,,,
P177,,,VCCO_1,,,1,,,,,any******,,,,
P178,,DIFFS,IO_L31N_1/VREF_1,UNUSED,,1,,,,,,,,,
P179,,,GND,,,,,,,,,,,,
P180,,DIFFM,IO_L32P_1/GCLK4,UNUSED,,1,,,,,,,,,
P181,,DIFFS,IO_L32N_1/GCLK5,UNUSED,,1,,,,,,,,,
P182,,IOB,IO,UNUSED,,1,,,,,,,,,
P183,,DIFFM,IO_L32P_0/GCLK6,UNUSED,,0,,,,,,,,,
P184,,DIFFS,IO_L32N_0/GCLK7,UNUSED,,0,,,,,,,,,
P185,,DIFFM,IO_L31P_0/VREF_0,UNUSED,,0,,,,,,,,,
P186,,,GND,,,,,,,,,,,,
P187,,DIFFS,IO_L31N_0,UNUSED,,0,,,,,,,,,
P188,,,VCCO_0,,,0,,,,,any******,,,,
P189,,IOB,IO,UNUSED,,0,,,,,,,,,
P190,,DIFFM,IO_L30P_0,UNUSED,,0,,,,,,,,,
P191,,DIFFS,IO_L30N_0,UNUSED,,0,,,,,,,,,
P192,,,VCCINT,,,,,,,,1.2,,,,
P193,,,VCCAUX,,,,,,,,2.5,,,,
P194,,DIFFM,IO_L27P_0,UNUSED,,0,,,,,,,,,
P195,,,GND,,,,,,,,,,,,
P196,,DIFFS,IO_L27N_0,UNUSED,,0,,,,,,,,,
P197,,IOB,IO,UNUSED,,0,,,,,,,,,
P198,,DIFFM,IO_L25P_0,UNUSED,,0,,,,,,,,,
P199,,DIFFS,IO_L25N_0,UNUSED,,0,,,,,,,,,
P200,,IOB,IO/VREF_0,UNUSED,,0,,,,,,,,,
P201,,,VCCO_0,,,0,,,,,any******,,,,
P202,,,GND,,,,,,,,,,,,
P203,,DIFFM,IO_L01P_0/VRN_0,UNUSED,,0,,,,,,,,,
P204,,DIFFS,IO_L01N_0/VRP_0,UNUSED,,0,,,,,,,,,
P205,,IOB,IO/VREF_0,UNUSED,,0,,,,,,,,,
P206,,,HSWAP_EN,,,,,,,,,,,,
P207,,,PROG_B,,,,,,,,,,,,
P208,,,TDI,,,,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
